WADL ID,Batch,IT ID,Unit Cell Type,Mass (g),x_bend (mm),x _stretch (mm),x_vert (mm),x_joint (mm),Energy Absorbed (J),Energy Absorbed per Unit Mass (J/g)
555,16,,Octet,0.88,0.43,0.49,0,0.21,4.19,4.773
556,16,,Octet,0.86,0.46,0.31,0,0.66,3.55,4.131
557,16,,Octet,0.82,0.4,0.47,0,0.56,4.11,5.029
558,16,,Octet,0.81,0.39,0.5,0,0.48,4.08,5.063
559,16,178,Octet,0.82,0.5,0.31,0,0.32,3.07,3.732
560,16,,Octet,0.8,0.31,0.37,0,1.04,3.65,4.549
561,16,,Octet,0.81,0.33,0.3,0,1.09,3.51,4.325
562,16,,Octet,0.83,0.43,0.33,0,0.75,3.96,4.793
563,16,,Octet,0.83,0.47,0.35,0,0.44,3.62,4.36
564,16,,Octet,0.78,0.31,0.46,0,0.91,3.79,4.863
565,16,,Octet,0.79,0.39,0.49,0,0.52,3.91,4.921
566,16,,Octet,0.82,0.39,0.48,0,0.55,4.08,4.981
567,16,,Octet,0.81,0.3,0.6,0,0.59,3.85,4.731
568,16,,Octet,0.78,0.33,0.34,0,1.03,3.77,4.828
569,16,,Octet,0.78,0.41,0.4,0,0.69,3.95,5.039
570,16,,Octet,0.77,0.32,0.5,0,0.78,3.69,4.776
571,16,,Octet,0.8,0.41,0.49,0,0.4,3.83,4.81
572,16,,Octet,0.78,0.4,0.37,0,0.79,3.89,4.996
573,16,,Octet,0.78,0.33,0.55,0,0.61,3.72,4.783
574,16,,Octet,0.81,0.5,0.33,0,0.23,3.29,4.057
575,16,,Octet,0.76,0.3,0.54,0,0.76,3.62,4.77
576,16,,Octet,0.77,0.31,0.62,0,0.47,3.78,4.891
577,17,,Octet,0.8,0.44,0.44,0,0.42,3.74,4.665
578,17,,Octet,0.82,0.29,0.64,0,0.48,3.84,4.678
579,17,,Octet,0.81,0.45,0.44,0,0.34,3.56,4.405
580,17,,Octet,0.81,0.47,0.33,0,0.5,3.52,4.343
581,17,,Octet,0.8,0.43,0.47,0,0.38,3.72,4.644
582,17,,Octet,0.77,0.31,0.54,0,0.73,3.63,4.683
583,17,,Octet,0.8,0.42,0.47,0,0.45,3.73,4.65
584,17,,Octet,0.81,0.36,0.45,0,0.77,3.86,4.78
585,17,,Octet,0.79,0.29,0.36,0,1.09,3.51,4.426
586,17,,Octet,0.82,0.48,0.31,0,0.48,3.47,4.211
587,17,,Octet,0.8,0.42,0.45,0,0.51,3.81,4.767
588,17,,Octet,0.75,0.29,0.33,0,1.13,3.42,4.54
589,17,15,Octet,0.8,0.29,0.63,0,0.53,3.86,4.831
590,17,,Octet,0.83,0.47,0.29,0,0.59,3.48,4.178
591,17,,Octet,0.83,0.38,0.39,0,0.82,3.77,4.55
592,17,199,Octet,0.82,0.43,0.35,0,0.72,3.88,4.747
593,17,,Octet,0.78,0.3,0.41,0,1.02,3.6,4.619
594,17,,Octet,0.77,0.41,0.36,0,0.77,3.86,5.037
595,17,,Octet,0.78,0.33,0.43,0,0.91,3.46,4.456
596,17,,Octet,0.8,0.4,0.35,0,0.82,3.65,4.55
597,17,,Octet,0.81,0.37,0.35,0,0.92,3.67,4.514
598,17,,Octet,0.8,0.37,0.43,0,0.78,3.79,4.736
599,17,,Octet,0.78,0.35,0.39,0,0.91,3.64,4.677
600,17,,Octet,0.77,0.29,0.61,0,0.6,3.35,4.326
601,17,,Octet,0.78,0.44,0.39,0,0.57,3.57,4.608
602,17,,Octet,0.81,0.48,0.36,0,0.33,3.06,3.771
603,17,,Octet,0.78,0.39,0.33,0,0.89,3.94,5.046
604,17,,Octet,0.79,0.41,0.43,0,0.62,4.13,5.256
605,17,,Octet,0.76,0.28,0.35,0,1.13,3.31,4.381
606,17,,Octet,0.75,0.39,0.42,0,0.73,3.71,4.938
607,17,,Octet,0.76,0.35,0.34,0,0.98,3.63,4.766
608,17,,Octet,0.78,0.32,0.48,0,0.83,3.41,4.395
609,17,,Octet,0.78,0.36,0.5,0,0.63,3.63,4.656
610,17,,Octet,0.79,0.31,0.64,0,0.37,3.4,4.286
611,17,,Octet,0.76,0.31,0.45,0,0.93,3.58,4.743
612,17,,Octet,0.75,0.38,0.35,0,0.89,3.65,4.888
613,18,,Octet,0.82,0.44,0.44,0,0.42,4.15,5.075
614,18,,Octet,0.85,0.41,0.51,0,0.3,4.25,5.013
615,18,,Octet,0.81,0.45,0.3,0,0.72,4.53,5.591
616,18,,Octet,0.79,0.34,0.41,0,0.91,4,5.073
617,18,,Octet,0.82,0.37,0.53,0,0.5,4.08,4.991
618,18,,Octet,0.77,0.39,0.29,0,0.95,3.96,5.148
619,18,,Octet,0.8,0.34,0.5,0,0.72,3.93,4.879
620,18,,Octet,0.86,0.44,0.45,0,0.38,4.59,5.36
621,18,,Octet,0.88,0.29,0.67,0,0.28,3.99,4.55
622,18,,Octet,0.8,0.31,0.32,0,1.1,3.85,4.822
623,18,"141
150
159",Octet,0.8,0.33,0.38,0,0.99,4.07,5.07
624,18,,Octet,0.77,0.31,0.44,0,0.94,3.86,5.029
625,18,,Octet,0.82,0.46,0.35,0,0.56,4.07,4.989
626,18,186,Octet,0.83,0.4,0.31,0,0.89,4.14,5.005
627,18,,Octet,0.85,0.31,0.5,0,0.82,4.23,4.982
628,18,,Octet,0.85,0.37,0.52,0,0.52,4.17,4.935
629,18,,Octet,0.81,0.31,0.57,0,0.64,3.77,4.656
630,18,,Octet,0.77,0.28,0.54,0,0.82,3.6,4.68
631,18,,Octet,0.79,0.28,0.41,0,1.05,3.71,4.717
632,18,,Octet,0.82,0.31,0.47,0,0.89,3.86,4.689
633,18,177,Octet,0.84,0.43,0.28,0,0.83,4.34,5.188
634,18,,Octet,0.84,0.47,0.36,0,0.47,4.19,4.97
635,18,,Octet,0.79,0.31,0.36,0,1.05,3.9,4.925
636,18,,Octet,0.77,0.37,0.34,0,0.93,4.15,5.374
637,18,,Octet,0.79,0.35,0.51,0,0.65,3.89,4.919
638,18,"213
222
231",Octet,0.8,0.35,0.28,0,1.06,4.06,5.109
639,18,,Octet,0.79,0.33,0.36,0,1.01,3.83,4.876
640,18,,Octet,0.79,0.39,0.41,0,0.75,4.11,5.171
641,18,"143
152
161
182",Octet,0.79,0.43,0.31,0,0.78,4.45,5.616
642,18,,Octet,0.78,0.47,0.29,0,0.65,4.37,5.61
643,18,,Octet,0.8,0.28,0.64,0,0.53,3.54,4.43
644,18,,Octet,0.78,0.42,0.37,0,0.71,3.96,5.067
645,18,,Octet,0.78,0.29,0.57,0,0.72,3.6,4.649
646,18,,Octet,0.78,0.37,0.48,0,0.65,3.96,5.067
647,18,,Octet,0.78,0.35,0.49,0,0.7,3.89,5.017
648,18,,Octet,0.78,0.41,0.47,0,0.47,3.99,5.114
649,19,,Octet,0.81,0.44,0.44,0,0.42,4.42,5.428
650,19,,Octet,0.79,0.39,0.28,0,0.96,4.08,5.142
651,19,,Octet,0.83,0.49,0.29,0,0.47,4.11,4.928
652,19,,Octet,0.8,0.29,0.58,0,0.69,3.82,4.774
653,19,,Octet,0.81,0.38,0.52,0,0.47,4.18,5.151
654,19,"98
116
134",Octet,0.79,0.43,0.38,0,0.64,4.06,5.154
655,19,,Octet,0.79,0.32,0.43,0,0.93,3.84,4.894
656,19,,Octet,0.81,0.34,0.31,0,1.04,4.03,5.002
657,19,,Octet,0.81,0.3,0.39,0,1.04,3.86,4.78
658,19,,Octet,0.84,0.28,0.65,0,0.45,4.04,4.792
659,19,,Octet,0.83,0.41,0.5,0,0.35,4.31,5.178
660,19,,Octet,0.78,0.33,0.58,0,0.52,3.76,4.824
661,19,,Octet,0.81,0.48,0.29,0,0.54,3.62,4.48
662,19,,Octet,0.82,0.3,0.48,0,0.88,4.08,4.967
663,19,,Octet,0.81,0.28,0.39,0,1.08,3.68,4.542
664,19,,Octet,0.81,0.37,0.41,0,0.81,4.27,5.271
665,19,,Octet,0.81,0.4,0.52,0,0.34,4.12,5.1
666,19,,Octet,0.76,0.33,0.48,0,0.79,3.97,5.2
667,19,,Octet,0.76,0.29,0.28,0,1.18,3.46,4.519
668,19,,Octet,0.82,0.39,0.54,0,0.32,4.31,5.289
669,19,,Octet,0.81,0.35,0.56,0,0.49,4.03,4.968
670,19,,Octet,0.79,0.33,0.47,0,0.84,3.95,5.012
671,19,"137
146
155",Octet,0.75,0.28,0.31,0,1.17,3.43,4.543
672,20,,Octet,0.88,0.44,0.44,0,0.42,4.19,4.755
673,20,,Octet,0.84,0.41,0.28,0,0.9,3.83,4.546
674,20,264,Octahedral,0.74,0.28,1,0,0.78,4.99,6.782
675,20,,Octahedral,0.74,0.44,0.82,0,0.86,4.48,6.063
676,20,,Octahedral,0.73,0.32,0.87,0,0.99,4.07,5.605
677,20,"239
248
251
256",Octahedral,0.76,0.66,0.58,0,0.6,6.85,8.994
678,20,205,Octahedral,0.77,0.7,0.34,0,0.89,6.05,7.838
679,20,,Octahedral,0.76,0.51,0.4,0,1.26,4.28,5.594
680,20,,Octahedral,0.78,0.4,0.4,0,1.41,3.85,4.929
681,20,,Octahedral,0.78,0.32,0.64,0,1.3,3.64,4.686
682,20,,Octahedral,0.74,0.32,0.58,0,1.36,3.51,4.771
683,20,,Octahedral,0.76,0.66,0.34,0,1,5.32,7.024
684,20,,Octahedral,0.73,0.4,0.76,0,1.05,4.1,5.612
685,20,"249
252
257",Octahedral,0.78,0.7,0.4,0,0.8,6.15,7.883
686,20,,Octahedral,0.8,0.78,0.34,0,0.51,6.88,8.608
687,20,,Octahedral,0.76,0.44,0.87,0,0.72,4.36,5.699
688,20,,Octahedral,0.76,0.59,0.58,0,0.9,5.48,7.205
689,20,,Octahedral,0.75,0.63,0.58,0,0.77,5.74,7.641
690,20,244,Octahedral,0.77,0.66,0.64,0,0.43,5.79,7.551
691,20,,Octahedral,0.77,0.7,0.28,0,0.95,5.87,7.623
692,20,,Octahedral,0.74,0.4,0.47,0,1.36,3.48,4.73
693,20,238,Octahedral,0.77,0.59,0.47,0,1.06,4.66,6.074
694,20,,Octahedral,0.73,0.36,0.93,0,0.78,5.25,7.178
695,20,202,Octahedral,0.73,0.4,0.93,0,0.67,5.38,7.325
696,20,,Octahedral,0.7,0.28,0.76,0,1.21,3.59,5.139
697,20,206,Octahedral,0.74,0.59,0.4,0,1.13,4.18,5.632
698,20,,Octahedral,0,0.51,0.34,0,1.3,0,0
699,20,,Octahedral,0.75,0.51,0.87,0,0.39,4.99,6.651
700,20,268,Octahedral,0.74,0.51,0.82,0,0.61,4.58,6.181
701,20,,Octahedral,0.73,0.47,0.82,0,0.75,4.47,6.11
702,20,,Octahedral,0.73,0.28,0.4,0,1.5,2.73,3.754
703,20,245,Octahedral,0.76,0.7,0.47,0,0.68,5.77,7.647
704,20,,Octahedral,0,0.63,0.47,0,0.96,0,0
705,20,,Octahedral,0.71,0.36,0.47,0,1.39,3.41,4.83
706,20,,Octahedral,0.73,0.4,1,0,0.4,5.12,7.032
707,20,,Octahedral,0.74,0.63,0.64,0,0.63,5.91,8.003
708,21,,Octet,0.86,0.44,0.44,0,0.42,4.26,4.925
709,21,,Octahedral,0.75,0.44,0.7,0,1.06,4.53,6.045
710,21,,Octahedral,0.76,0.47,0.7,0,0.98,4.97,6.572
711,21,,Octahedral,0.73,0.32,1,0,0.68,5.55,7.643
712,21,,Octahedral,0.74,0.44,0.4,0,1.36,3.8,5.152
713,21,,Octahedral,0.75,0.51,0.52,0,1.15,5.49,7.338
714,21,266,Octahedral,0.73,0.28,0.82,0,1.15,4.25,5.784
715,21,,Octahedral,0,0.59,0.64,0,0.79,0,0
716,21,241,Octahedral,0.76,0.55,0.58,0,1,5.79,7.601
717,21,,Octahedral,0.73,0.36,0.58,0,1.31,3.98,5.476
718,21,,Octahedral,0.75,0.55,0.34,0,1.25,4.74,6.351
719,21,,Octahedral,0.72,0.32,0.76,0,1.17,4.16,5.808
720,21,,Octahedral,0.76,0.59,0.7,0,0.63,6.36,8.397
721,21,,Octahedral,0.75,0.47,0.28,0,1.39,3.85,5.144
722,21,,Octahedral,0.77,0.55,0.4,0,1.2,5.09,6.652
723,21,,Octahedral,0.73,0.28,0.47,0,1.46,3.19,4.373
724,21,,Octahedral,0.73,0.44,0.76,0,0.97,4.35,5.923
725,21,240,Octahedral,0.75,0.74,0.4,0,0.62,6.55,8.697
726,21,,Octahedral,0.75,0.55,0.82,0,0.43,5.82,7.77
727,21,,Octahedral,0.73,0.36,0.64,0,1.26,4.05,5.538
728,21,208,Octahedral,0.76,0.59,0.34,0,1.18,5.1,6.679
729,21,209,Octahedral,0.77,0.66,0.28,0,1.06,5.3,6.85
730,21,,Octahedral,0.73,0.4,0.87,0,0.82,4.66,6.38
731,21,,Octahedral,0.73,0.47,0.34,0,1.35,3.7,5.073
732,21,,Octahedral,0.71,0.28,0.87,0,1.06,4.3,6.05
733,21,,Octahedral,0.73,0.51,0.28,0,1.34,4,5.461
734,21,,Octahedral,0.73,0.4,0.28,0,1.47,3.38,4.652
735,21,,Octahedral,0.74,0.78,0.4,0,0.06,6.09,8.187
736,21,204,Octahedral,0.75,0.74,0.28,0,0.82,6.53,8.663
737,21,,Octahedral,0.71,0.32,0.52,0,1.39,3.6,5.11
738,21,,Octahedral,0.72,0.32,0.7,0,1.24,3.98,5.559
739,21,,Octahedral,0.7,0.28,0.28,0,1.54,3.11,4.445
740,21,,Octahedral,0.71,0.28,0.58,0,1.39,3.51,4.983
741,21,,Octahedral,0.73,0.55,0.47,0,1.13,4.41,6.021
742,21,,Octahedral,0.73,0.51,0.58,0,1.08,5.07,6.919
743,21,,Octahedral,0.71,0.47,0.58,0,1.15,4.64,6.533
744,22,,Octet,0.86,0.44,0.44,0,0.42,3.97,4.614
745,22,207,Octahedral,0.73,0.44,0.64,0,1.15,4.33,5.917
746,22,,Octahedral,0.74,0.47,0.76,0,0.88,4.67,6.343
747,22,,Octahedral,0.72,0.44,0.58,0,1.21,4.24,5.887
748,22,,Octahedral,0.72,0.36,0.34,0,1.47,3.58,4.982
749,22,265,Octahedral,0.72,0.36,1,0,0.56,4.53,6.322
750,22,,Octahedral,0.71,0.28,0.93,0,0.95,4.54,6.364
751,22,,Octahedral,0.74,0.47,0.64,0,1.08,4.7,6.377
752,22,243,Octahedral,0.75,0.59,0.52,0,0.98,5.43,7.228
753,22,,Octahedral,0.73,0.4,0.34,0,1.44,3.59,4.909
754,22,,Octahedral,0.72,0.32,0.47,0,1.44,3.55,4.946
755,22,,Octahedral,0.74,0.63,0.4,0,1.04,5.72,7.732
756,22,,Octahedral,0.75,0.66,0.4,0,0.93,5.59,7.503
757,22,,Octahedral,0.74,0.51,0.7,0,0.89,4.49,6.077
758,22,,Octahedral,0.75,0.47,0.47,0,1.26,4.22,5.632
759,22,,Octahedral,0.73,0.32,0.4,0,1.48,3.47,4.753
760,22,,Octahedral,0.73,0.28,0.52,0,1.43,3.37,4.622
761,22,,Octahedral,0.7,0.32,0.82,0,1.09,3.93,5.582
762,22,,Octahedral,0.73,0.44,0.93,0,0.53,4.53,6.174
763,22,,Octahedral,0.75,0.55,0.52,0,1.07,4.91,6.534
764,22,,Octahedral,0.75,0.44,0.34,0,1.4,3.77,5.051
765,22,,Octahedral,0.74,0.47,0.87,0,0.57,4.58,6.18
766,22,,Octahedral,0.73,0.28,0.64,0,1.35,3.53,4.858
767,22,,Octahedral,0.72,0.4,0.58,0,1.27,4.03,5.611
768,22,,Octahedral,0.75,0.74,0.47,0,0.46,5.77,7.705
769,22,,Octahedral,0.71,0.32,0.93,0,0.88,5.29,7.484
770,22,,Octahedral,0.72,0.47,0.52,0,1.21,4.81,6.637
771,22,242,Octahedral,0.74,0.63,0.52,0,0.87,5.1,6.907
772,22,,Octahedral,0.72,0.44,0.47,0,1.31,4.08,5.675
773,22,,Octahedral,0.72,0.51,0.47,0,1.21,4.71,6.552
774,22,,Octahedral,0.74,0.55,0.28,0,1.29,4.37,5.888
775,22,,Octahedral,0.7,0.28,1.05,0,0.59,4.6,6.575
776,22,,Octahedral,0.71,0.4,0.52,0,1.32,3.83,5.371
777,22,,Octahedral,0.7,0.28,0.7,0,1.28,3.72,5.295
778,22,,Octahedral,0.73,0.59,0.76,0,0.44,5.81,7.97
779,22,,Octahedral,0.69,0.36,0.87,0,0.92,4.18,6.021
816,24,,Octet,0.85,0.44,0.44,0,0.42,3.98,4.655
817,24,,Octahedral,0.72,0.4,0.64,0,1.21,3.97,5.553
818,24,,Octahedral,0.76,0.78,0.28,0,0.62,6.62,8.66
819,24,,Octahedral,0.72,0.32,0.28,0,1.53,3.52,4.864
820,24,,Octahedral,0.72,0.36,0.4,0,1.44,3.43,4.771
821,24,,Octahedral,0.7,0.44,0.28,0,1.43,3.04,4.327
822,24,,Octahedral,0.74,0.55,0.76,0,0.63,4.71,6.362
823,24,,Octahedral,0.76,0.74,0.34,0,0.73,6.46,8.503
824,24,,Octahedral,0.73,0.36,0.28,0,1.49,3.11,4.257
825,24,,Octahedral,0.74,0.51,0.64,0,1,4.89,6.628
826,24,,Octahedral,0.71,0.36,0.7,0,1.18,3.86,5.408
827,24,,Octahedral,0.74,0.63,0.28,0,1.15,4.54,6.168
828,24,,Octahedral,0.72,0.32,0.34,0,1.5,2.86,3.967
829,24,,Octahedral,0.72,0.36,0.52,0,1.36,3.53,4.923
830,24,,Octahedral,0.73,0.44,0.52,0,1.27,4.16,5.709
831,24,,Octahedral,0.74,0.51,0.76,0,0.77,4.5,6.081
832,24,,Octahedral,0.75,0.63,0.7,0,0.43,6.12,8.13
833,24,,Octahedral,0.73,0.28,0.34,0,1.53,2.87,3.936
834,24,,Octahedral,0.72,0.32,1.05,0,0.45,3.87,5.386
835,24,,Octahedral,0.71,0.36,0.82,0,1.03,3.97,5.6
836,24,,Octahedral,0.72,0.4,0.82,0,0.95,3.77,5.263
837,24,,Octahedral,0.73,0.47,0.4,0,1.31,3.79,5.179
838,24,,Octahedral,0.73,0.51,0.34,0,1.3,3.96,5.443
839,24,,Octahedral,0.73,0.47,0.93,0,0.33,4.87,6.649
840,24,,Octahedral,0.74,0.66,0.52,0,0.73,5.84,7.933
841,24,,Octahedral,0.74,0.66,0.47,0,0.84,4.74,6.435
842,24,,Octahedral,0.72,0.55,0.7,0,0.77,6.01,8.374
843,24,,Octahedral,0.7,0.4,0.7,0,1.13,3.87,5.529
844,24,,Octahedral,0.73,0.63,0.47,0,0.96,4.54,6.243
845,24,,Octahedral,0.71,0.55,0.64,0,0.91,4.97,7.027
846,24,,Octahedral,0.71,0.36,0.76,0,1.12,3.81,5.346
847,24,,Octahedral,0.74,0.7,0.52,0,0.54,5.73,7.781
848,24,,Octahedral,0.72,0.63,0.34,0,1.1,4.09,5.68
849,24,,Octahedral,0.72,0.59,0.28,0,1.22,4.62,6.423
850,24,,Octahedral,0.72,0.44,0.98,0,0.29,4.76,6.621
851,24,,Octahedral,0.72,0.59,0.64,0,0.79,5.51,7.693
852,25,,Octet,0.89,0.44,0.44,0,0.42,5.2,5.836
853,25,258,Reinforced Octet,0.85,0.38,0.38,0.38,0.72,5.04,5.956
854,25,259,Reinforced Octahedral,0.73,0.44,0.44,0.44,1.26,5.36,7.364
855,25,260,Body-Centered Cubic,0.79,0.76,0,0,0.72,5.07,6.416
856,25,,Octet,0.9,0.38,0.38,0,0.69,4.43,4.932
857,25,,Octet,0.85,0.38,0.38,0,0.84,5.3,6.243
