WADL ID,Batch,IT ID,Unit Cell Type,Mass (g),x_bend (mm),x _stretch (mm),x_vert (mm),x_joint (mm),Energy Absorbed (J),Energy Absorbed per Unit Mass (J/g)
333,10,191,Octet,0.85,0.44,0.35,0,0.66,4.38,5.134
334,10,,Octet,0.82,0.28,0.47,0,0.97,3.81,4.638
335,10,,Octet,0.81,0.41,0.37,0,0.75,3.81,4.697
336,10,,Octet,0.81,0.43,0.46,0,0.42,4.05,5.019
337,10,,Octet,0.81,0.44,0.33,0,0.7,3.78,4.679
338,10,,Octet,0.81,0.31,0.28,0,1.14,3.44,4.246
339,10,,Octet,0.88,0.39,0.51,0,0.45,4.02,4.586
340,10,,Octet,0.84,0.39,0.44,0,0.68,4.36,5.175
341,10,22,Octet,0.82,0.32,0.62,0,0.4,3.72,4.521
342,10,"90
108
126",Octet,0.78,0.38,0.31,0,0.95,4,5.144
343,10,,Octet,0.81,0.35,0.57,0,0.45,3.58,4.415
344,10,,Octet,0.82,0.41,0.34,0,0.81,3.8,4.62
345,10,,Octet,0.83,0.3,0.47,0,0.92,3.77,4.553
346,10,,Octet,0.85,0.45,0.41,0,0.46,4.05,4.744
347,10,,Octet,0.82,0.34,0.6,0,0.38,3.77,4.578
348,10,,Octet,0.78,0.33,0.45,0,0.88,3.92,5.023
349,10,,Octet,0.77,0.35,0.44,0,0.83,3.54,4.563
350,10,,Octet,0.8,0.28,0.52,0,0.86,3.65,4.554
351,10,,Octet,0.79,0.37,0.29,0,1,3.91,4.983
352,10,180,Octet,0.8,0.46,0.29,0,0.69,3.89,4.882
353,10,,Octet,0.8,0.43,0.44,0,0.48,3.83,4.821
354,10,,Octet,0.8,0.31,0.65,0,0.24,3.4,4.232
355,10,,Octet,0.77,0.3,0.31,0,1.13,3.31,4.296
356,10,"142
151
160",Octet,0.8,0.33,0.56,0,0.59,3.86,4.838
357,10,,Octet,0.8,0.29,0.66,0,0.34,3.55,4.427
358,10,,Octet,0.78,0.31,0.61,0,0.51,3.45,4.439
359,10,,Octet,0.8,0.42,0.5,0,0.27,3.75,4.688
360,10,,Octet,0.77,0.45,0.39,0,0.51,3.85,4.974
361,11,,Octet,0.84,0.44,0.44,0,0.42,4.08,4.837
362,11,,Octet,0.82,0.32,0.45,0,0.9,3.98,4.874
363,11,,Octet,0.83,0.42,0.41,0,0.61,4.48,5.398
364,11,,Octet,0.83,0.31,0.52,0,0.77,3.92,4.728
365,11,,Octet,0.82,0.43,0.36,0,0.69,4.01,4.877
366,11,,Octet,0.84,0.45,0.45,0,0.3,4.02,4.801
367,11,,Octet,0.81,0.38,0.33,0,0.92,3.9,4.848
368,11,,Octet,0.82,0.37,0.36,0,0.9,3.79,4.606
369,11,,Octet,0.85,0.33,0.5,0,0.75,4.1,4.802
370,11,,Octet,0.85,0.36,0.48,0,0.69,4.37,5.135
371,11,,Octet,0.87,0.49,0.35,0,0.25,3.93,4.499
372,11,,Octet,0.8,0.29,0.46,0,0.96,3.63,4.541
373,11,197,Octet,0.83,0.47,0.39,0,0.38,3.74,4.486
374,11,,Octet,0.85,0.45,0.35,0,0.62,3.98,4.669
375,11,,Octet,0.89,0.33,0.6,0,0.44,3.94,4.412
376,11,,Octet,0.86,0.29,0.51,0,0.86,3.96,4.627
377,11,,Octet,0.83,0.33,0.54,0,0.65,3.78,4.54
378,11,,Octet,0.78,0.29,0.3,0,1.15,3.22,4.114
379,11,,Octet,0.82,0.43,0.4,0,0.59,4.01,4.896
380,11,,Octet,0.87,0.35,0.61,0,0.23,3.86,4.459
381,11,,Octet,0.87,0.42,0.43,0,0.57,4.25,4.904
382,11,,Octet,0.83,0.28,0.45,0,1,3.67,4.397
383,11,,Octet,0.82,0.37,0.3,0,0.99,3.94,4.825
384,11,,Octet,0.83,0.3,0.65,0,0.33,3.58,4.305
385,11,,Octet,0.79,0.35,0.32,0,1.01,3.66,4.613
386,11,,Octet,0.84,0.37,0.55,0,0.41,3.82,4.551
387,11,,Octet,0.81,0.35,0.4,0,0.9,3.91,4.824
388,11,,Octet,0.8,0.36,0.35,0,0.95,3.71,4.608
389,11,,Octet,0.81,0.42,0.31,0,0.82,3.99,4.949
390,11,,Octet,0.79,0.43,0.34,0,0.73,4.1,5.168
391,11,,Octet,0.8,0.36,0.41,0,0.85,3.85,4.786
392,11,,Octet,0.83,0.42,0.48,0,0.37,4.44,5.362
393,11,8,Octet,0.79,0.29,0.29,0,1.17,3.39,4.292
394,11,,Octet,0.79,0.35,0.46,0,0.79,4.02,5.092
395,11,,Octet,0.8,0.32,0.52,0,0.74,3.89,4.882
396,11,,Octet,0.78,0.34,0.43,0,0.88,3.82,4.927
397,12,,Octet,0.84,0.44,0.44,0,0.42,4.08,4.872
398,12,,Octet,0.82,0.31,0.39,0,1.02,3.55,4.31
399,12,,Octet,0.86,0.47,0.37,0,0.37,4.14,4.834
400,12,,Octet,0.84,0.42,0.35,0,0.75,4.03,4.807
401,12,,Octet,0.83,0.28,0.58,0,0.73,3.8,4.594
402,12,,Octet,0.84,0.34,0.58,0,0.47,3.82,4.548
403,12,,Octet,0.8,0.31,0.29,0,1.13,3.68,4.585
404,12,,Octet,0.84,0.37,0.37,0,0.89,4.07,4.858
405,12,,Octet,0.84,0.4,0.33,0,0.86,4.04,4.814
406,12,,Octet,0.88,0.37,0.54,0,0.45,3.86,4.379
407,12,"92
110
128",Octet,0.84,0.38,0.45,0,0.7,4.19,4.974
408,12,,Octet,0.82,0.29,0.52,0,0.83,3.83,4.651
409,12,,Octet,0.82,0.37,0.39,0,0.85,4.02,4.919
410,12,,Octet,0.86,0.29,0.6,0,0.63,3.9,4.515
411,12,,Octet,0.88,0.34,0.47,0,0.8,4.18,4.736
412,12,,Octet,0.87,0.45,0.29,0,0.74,4.12,4.731
413,12,,Octet,0.84,0.28,0.6,0,0.67,4.03,4.811
414,12,,Octet,0.85,0.48,0.35,0,0.36,3.95,4.631
415,12,,Octet,0.81,0.34,0.33,0,1.02,3.58,4.406
416,12,,Octet,0.85,0.41,0.41,0,0.67,3.97,4.686
417,12,,Octet,0.9,0.4,0.54,0,0.21,4.02,4.488
418,12,198,Octet,0.87,0.45,0.31,0,0.7,4.11,4.71
419,12,,Octet,0.85,0.45,0.38,0,0.55,3.95,4.644
420,12,,Octet,0.81,0.33,0.39,0,0.97,5.25,6.462
421,12,,Octet,0.8,0.43,0.32,0,0.77,3.83,4.768
422,12,,Octet,0.81,0.28,0.33,0,1.15,3.63,4.501
423,12,,Octet,0.84,0.4,0.48,0,0.5,4.2,4.978
424,12,,Octet,0.81,0.29,0.37,0,1.09,3.71,4.602
425,12,,Octet,0.84,0.47,0.34,0,0.53,4.06,4.866
426,12,,Octet,0.81,0.35,0.52,0,0.62,3.93,4.831
427,12,,Octet,0.84,0.28,0.67,0,0.35,3.84,4.569
428,12,,Octet,0.79,0.33,0.29,0,1.09,3.57,4.513
429,12,,Octet,0.8,0.39,0.38,0,0.8,4.07,5.06
430,12,"164
168
172",Octet,0.81,0.33,0.47,0,0.81,3.88,4.762
431,12,,Octet,0.81,0.31,0.48,0,0.86,3.9,4.836
432,12,,Octet,0.8,0.35,0.37,0,0.95,3.83,4.778
433,13,,Octet,0.85,0.44,0.44,0,0.42,4.55,5.379
434,13,,Octet,0.87,0.47,0.41,0,0.29,4.55,5.257
435,13,,Octet,0.87,0.43,0.48,0,0.29,4.84,5.587
436,13,,Octet,0.84,0.43,0.39,0,0.62,4.32,5.144
437,13,,Octet,0.85,0.31,0.59,0,0.58,4,4.732
438,13,,Octet,0.8,0.29,0.35,0,1.11,3.67,4.555
439,13,,Octet,0.83,0.3,0.58,0,0.65,4.01,4.847
440,13,"144
153
162",Octet,0.89,0.43,0.47,0,0.33,4.73,5.336
441,13,,Octet,0.88,0.32,0.6,0,0.49,4.41,4.989
442,13,,Octet,0.86,0.45,0.33,0,0.66,4.45,5.189
443,13,,Octet,0.85,0.41,0.42,0,0.65,4.37,5.164
